id,text,loc,sentiment,aspects,conf,time
1438,The drain is very good. . The raston is very good.,Newtown,Positive,"Hygiene,Roads",97.5%,06:55 PM
1439,The ondhokar is very good.,Tollygunge,Positive,Safety,94.2%,06:55 PM
1440,The litter is very good.,Behala,Positive,Hygiene,94.3%,06:55 PM
1441,The khana khondko is extremely bad.,Lake Town,Negative,Roads,95.4%,06:55 PM
1442,The pavement is extremely bad.,Kestopur,Negative,Roads,98.8%,06:55 PM
1443,The metro is very good. . The goli is very good.,Newtown,Positive,"Transit,Roads",95.8%,06:55 PM
1444,The aborjna is very good.,Newtown,Positive,Hygiene,96.0%,06:55 PM
1445,The ondhokar is extremely bad.,Behala,Negative,Safety,99.1%,06:55 PM
1446,The raasta is extremely bad. . The waste is extremely bad.,Jadavpur,Negative,"Roads,Hygiene",99.1%,06:55 PM
1447,The cleanliness is extremely bad.,Dum Dum,Negative,Hygiene,96.9%,06:55 PM
1448,The bus is extremely bad.,Sector V,Negative,Transit,99.9%,06:55 PM
1449,The paribahan is very good.,Salt Lake,Positive,Transit,99.0%,06:55 PM
1450,The garbage is very good. . The toto is very good. . The raksha is very good.,Salt Lake,Positive,"Hygiene,Transit,Safety",98.4%,06:55 PM
1451,The sawari is extremely bad.,Newtown,Negative,Transit,98.3%,06:55 PM
1452,The pothole is very good. . The dustbin is very good. . The bus is very good.,Tollygunge,Positive,"Roads,Hygiene,Transit",94.5%,06:55 PM
1453,The secure is extremely bad.,Dum Dum,Negative,Safety,97.5%,06:55 PM
1454,The road is extremely bad. . The auto is extremely bad.,Salt Lake,Negative,"Roads,Transit",94.2%,06:55 PM
1455,The dustbin is extremely bad.,Sector V,Negative,Hygiene,96.7%,06:55 PM
1456,The gandagi is extremely bad. . The manush is extremely bad.,Sector V,Negative,"Hygiene,Roads",98.9%,06:55 PM
1457,The crime is extremely bad. . The nongra is extremely bad.,Newtown,Negative,"Safety,Hygiene",96.1%,06:55 PM
1458,The divider is very good. . The raksha is very good.,Newtown,Positive,"Roads,Safety",94.0%,06:55 PM
1459,The patrol is extremely bad. . The nongra is extremely bad. . The traffic is extremely bad.,Lake Town,Negative,"Safety,Hygiene,Transit",96.9%,06:55 PM
1460,The metro is extremely bad.,Sector V,Negative,Transit,99.0%,06:55 PM
1461,The phari is very good. . The litter is very good.,Behala,Positive,"Safety,Hygiene",97.4%,06:55 PM
1462,The frequency is extremely bad.,Behala,Negative,Transit,96.8%,06:55 PM
1463,The trash is extremely bad.,Newtown,Negative,Hygiene,94.1%,06:55 PM
1464,The metro is very good.,Jadavpur,Positive,Transit,97.2%,06:55 PM
1465,The bridge is very good.,Kestopur,Positive,Roads,96.7%,06:55 PM
1466,The suraksha is very good. . The pul is very good.,Sector V,Positive,"Safety,Roads",99.1%,06:55 PM
1467,The bus is extremely bad. . The trash is extremely bad.,Dum Dum,Negative,"Transit,Hygiene",98.6%,06:55 PM
1468,The khof is very good. . The rasta is very good.,Newtown,Positive,"Safety,Roads",94.1%,06:55 PM
1469,The bus is very good. . The dark is very good.,Newtown,Positive,"Transit,Safety",96.3%,06:55 PM
1470,The manush is very good.,Jadavpur,Positive,Roads,97.4%,06:55 PM
1471,The nirapotta is extremely bad.,Behala,Negative,Safety,99.9%,06:55 PM
1472,The khana khondko is extremely bad. . The bus is extremely bad.,Tollygunge,Negative,"Roads,Transit",97.3%,06:55 PM
1473,The metro is extremely bad.,Newtown,Negative,Transit,99.3%,06:55 PM
1474,The ondhokar is very good.,Dum Dum,Positive,Safety,97.7%,06:55 PM
1475,The divider is extremely bad. . The nikashi is extremely bad.,Dum Dum,Negative,"Roads,Hygiene",94.7%,06:55 PM
1476,The khof is extremely bad.,Dum Dum,Negative,Safety,95.0%,06:55 PM
1477,The stench is extremely bad. . The safe is extremely bad. . The commute is extremely bad.,Dum Dum,Negative,"Hygiene,Safety,Transit",98.6%,06:55 PM
1478,The paribahan is extremely bad. . The nordoma is extremely bad.,Jadavpur,Negative,"Transit,Hygiene",97.4%,06:55 PM
1479,The bus is very good.,Dum Dum,Positive,Transit,98.2%,06:55 PM
1480,The badhu is very good.,Jadavpur,Positive,Hygiene,95.2%,06:55 PM
1481,The nirapotta is very good.,Lake Town,Positive,Safety,99.2%,06:55 PM
1482,The gaadi is very good. . The raksha is very good.,Jadavpur,Positive,"Transit,Safety",97.5%,06:55 PM
1483,The pothole is extremely bad. . The dustbin is extremely bad. . The raksha is extremely bad.,Garia,Negative,"Roads,Hygiene,Safety",99.9%,06:55 PM
1484,The naali is very good. . The metro is very good.,Salt Lake,Positive,"Hygiene,Transit",95.3%,06:55 PM
1485,The safe is very good.,Newtown,Positive,Safety,97.9%,06:55 PM
1486,The ondhokar is extremely bad. . The lane is extremely bad.,Jadavpur,Negative,"Safety,Roads",98.4%,06:55 PM
1487,The goli is extremely bad.,Kestopur,Negative,Roads,94.2%,06:55 PM
1488,The safety is very good.,Newtown,Positive,Safety,99.4%,06:55 PM
1489,The metro is very good.,Jadavpur,Positive,Transit,95.8%,06:55 PM
1490,The gandagi is extremely bad. . The sadak is extremely bad.,Sector V,Negative,"Hygiene,Roads",97.9%,06:55 PM
1491,The trash is extremely bad.,Dum Dum,Negative,Hygiene,94.7%,06:55 PM
1492,The dustbin is very good.,Sector V,Positive,Hygiene,99.8%,06:55 PM
1493,The dustbin is extremely bad.,Lake Town,Negative,Hygiene,95.0%,06:55 PM
1494,The rickshaw is extremely bad. . The dustbin is extremely bad.,Behala,Negative,"Transit,Hygiene",98.2%,06:55 PM
1495,The pothole is extremely bad.,Dum Dum,Negative,Roads,98.2%,06:55 PM
1496,The secure is extremely bad.,Newtown,Negative,Safety,99.8%,06:55 PM
1497,The dustbin is extremely bad.,Lake Town,Negative,Hygiene,95.7%,06:55 PM
1498,The congestion is extremely bad. . The road is extremely bad.,Behala,Negative,"Transit,Roads",94.4%,06:55 PM
1499,The khof is very good.,Sector V,Positive,Safety,97.8%,06:55 PM
1500,The safe is extremely bad.,Salt Lake,Negative,Safety,98.1%,06:55 PM
1501,The naala is very good. . The traffic is very good.,Sector V,Positive,"Hygiene,Transit",95.1%,06:55 PM
1502,The path is very good.,Dum Dum,Positive,Roads,99.0%,06:55 PM
1503,The swachh is extremely bad.,Behala,Negative,Hygiene,99.2%,06:55 PM
1504,The light is extremely bad.,Garia,Negative,Safety,94.2%,06:55 PM
1505,The naala is very good.,Newtown,Positive,Hygiene,94.3%,06:55 PM
1506,The pul is very good.,Behala,Positive,Roads,98.6%,06:55 PM
1507,The safety is extremely bad.,Jadavpur,Negative,Safety,97.7%,06:55 PM
1508,The lighting is extremely bad.,Kestopur,Negative,Safety,94.5%,06:55 PM
1509,The kudedan is extremely bad.,Kestopur,Negative,Hygiene,99.8%,06:55 PM
1510,The goli is extremely bad.,Dum Dum,Negative,Roads,98.3%,06:55 PM
1511,The litter is very good.,Garia,Positive,Hygiene,96.2%,06:55 PM
1512,The stench is extremely bad.,Lake Town,Negative,Hygiene,95.0%,06:55 PM
1513,The rickshaw is extremely bad.,Behala,Negative,Transit,96.2%,06:55 PM
1514,The ganda is very good.,Dum Dum,Positive,Hygiene,94.5%,06:55 PM
1515,The bhir is very good.,Jadavpur,Positive,Transit,96.0%,06:55 PM
1516,The sarak is very good.,Newtown,Positive,Roads,99.1%,06:55 PM
1517,The path is very good. . The chori is very good.,Sector V,Positive,"Roads,Safety",94.2%,06:55 PM
1518,The safe is very good.,Sector V,Positive,Safety,95.4%,06:55 PM
1519,The drain is extremely bad.,Behala,Negative,Hygiene,99.1%,06:55 PM
1520,The badhu is very good.,Garia,Positive,Hygiene,96.1%,06:55 PM
1521,The lane is extremely bad.,Behala,Negative,Roads,97.5%,06:55 PM
1522,The shuttle is extremely bad. . The protection is extremely bad.,Dum Dum,Negative,"Transit,Safety",99.2%,06:55 PM
1523,The raksha is very good.,Sector V,Positive,Safety,94.0%,06:55 PM
1524,The asphalt is extremely bad.,Behala,Negative,Roads,99.8%,06:55 PM
1525,The congestion is extremely bad.,Dum Dum,Negative,Transit,97.8%,06:55 PM
1526,The manush is very good. . The toto is very good.,Behala,Positive,"Roads,Transit",95.7%,06:55 PM
1527,The metro is extremely bad.,Salt Lake,Negative,Transit,98.1%,06:55 PM
1528,The naali is very good.,Jadavpur,Positive,Hygiene,95.6%,06:55 PM
1529,The bhoy is extremely bad. . The moila is extremely bad.,Lake Town,Negative,"Safety,Hygiene",99.1%,06:55 PM
1530,The aborjna is very good. . The traffic is very good.,Jadavpur,Positive,"Hygiene,Transit",95.9%,06:55 PM
1531,The gandagi is very good. . The bridge is very good.,Tollygunge,Positive,"Hygiene,Roads",97.0%,06:55 PM
1532,The rickshaw is extremely bad. . The police is extremely bad. . The gorto is extremely bad.,Garia,Negative,"Transit,Safety,Roads",94.2%,06:55 PM
1533,The asphalt is extremely bad.,Behala,Negative,Roads,97.6%,06:55 PM
1534,The dar is extremely bad.,Lake Town,Negative,Safety,94.1%,06:55 PM
1535,The manush is extremely bad. . The churi is extremely bad.,Kestopur,Negative,"Roads,Safety",98.4%,06:55 PM
1536,The street is very good.,Jadavpur,Positive,Roads,97.0%,06:55 PM
1537,The surface is very good.,Kestopur,Positive,Roads,98.7%,06:55 PM
1538,The pul is extremely bad. . The aborjna is extremely bad.,Garia,Negative,"Roads,Hygiene",98.9%,06:55 PM
1539,The secure is extremely bad.,Garia,Negative,Safety,94.9%,06:55 PM
1540,The transport is extremely bad. . The phari is extremely bad. . The flyover is extremely bad.,Tollygunge,Negative,"Transit,Safety,Roads",99.8%,06:55 PM
1541,The dustbin is extremely bad. . The safety is extremely bad. . The manush is extremely bad.,Newtown,Negative,"Hygiene,Safety,Roads",98.5%,06:55 PM
1542,The unnoto is very good.,Lake Town,Positive,Roads,97.1%,06:55 PM
1543,The kaada is very good.,Lake Town,Positive,Roads,98.7%,06:55 PM
1544,The traffic is extremely bad. . The ondhokar is extremely bad.,Garia,Negative,"Transit,Safety",97.1%,06:55 PM
1545,The auto is extremely bad. . The safai is extremely bad.,Lake Town,Negative,"Transit,Hygiene",94.4%,06:55 PM
1546,The bhir is very good.,Jadavpur,Positive,Transit,99.4%,06:55 PM
1547,The police is very good.,Tollygunge,Positive,Safety,99.7%,06:55 PM
1548,The patrol is extremely bad.,Jadavpur,Negative,Safety,98.5%,06:55 PM
1549,The traffic is very good. . The asphalt is very good.,Dum Dum,Positive,"Transit,Roads",96.3%,06:55 PM
1550,The bridge is extremely bad.,Salt Lake,Negative,Roads,99.6%,06:55 PM
1551,The kachra is extremely bad.,Behala,Negative,Hygiene,97.5%,06:55 PM
1552,The trash is very good.,Dum Dum,Positive,Hygiene,98.6%,06:55 PM
1553,The litter is extremely bad. . The lane is extremely bad. . The churi is extremely bad.,Sector V,Negative,"Hygiene,Roads,Safety",95.9%,06:55 PM
1554,The rickshaw is extremely bad.,Kestopur,Negative,Transit,97.9%,06:55 PM
1555,The bus is extremely bad.,Kestopur,Negative,Transit,94.6%,06:55 PM
1556,The auto is extremely bad.,Tollygunge,Negative,Transit,95.5%,06:55 PM
1557,The road is extremely bad.,Tollygunge,Negative,Roads,95.4%,06:55 PM
1558,The raston is extremely bad.,Behala,Negative,Roads,98.9%,06:55 PM
1559,The dustbin is very good.,Dum Dum,Positive,Hygiene,99.0%,06:55 PM
1560,The nongra is very good.,Kestopur,Positive,Hygiene,99.0%,06:55 PM
1561,The garbage is very good.,Dum Dum,Positive,Hygiene,95.2%,06:55 PM
1562,The auto is extremely bad.,Salt Lake,Negative,Transit,99.3%,06:55 PM
1563,The chori is extremely bad. . The auto is extremely bad.,Sector V,Negative,"Safety,Transit",96.0%,06:55 PM
1564,The nordoma is very good. . The dakat is very good.,Garia,Positive,"Hygiene,Safety",95.2%,06:55 PM
1565,The bridge is extremely bad.,Tollygunge,Negative,Roads,98.3%,06:55 PM
1566,The porishkar is very good.,Kestopur,Positive,Hygiene,97.3%,06:55 PM
1567,The pavement is very good.,Kestopur,Positive,Roads,97.8%,06:55 PM
1568,The manush is very good. . The chori is very good.,Jadavpur,Positive,"Roads,Safety",96.3%,06:55 PM
1569,The pothole is extremely bad.,Kestopur,Negative,Roads,97.1%,06:55 PM
1570,The waste is extremely bad.,Sector V,Negative,Hygiene,98.0%,06:55 PM
1571,The pavement is extremely bad.,Garia,Negative,Roads,94.5%,06:55 PM
1572,The kudedan is extremely bad.,Jadavpur,Negative,Hygiene,96.7%,06:55 PM
1573,The bus is very good. . The badbu is very good. . The light is very good.,Garia,Positive,"Transit,Hygiene,Safety",97.0%,06:55 PM
1574,The police is very good. . The rickshaw is very good.,Salt Lake,Positive,"Safety,Transit",96.1%,06:55 PM
1575,The andhera is extremely bad.,Dum Dum,Negative,Safety,97.2%,06:55 PM
1576,The aborjna is very good.,Tollygunge,Positive,Hygiene,98.7%,06:55 PM
1577,The dustbin is extremely bad.,Garia,Negative,Hygiene,97.9%,06:55 PM
1578,The asphalt is very good.,Newtown,Positive,Roads,96.7%,06:55 PM
1579,The naali is very good. . The traffic is very good.,Sector V,Positive,"Hygiene,Transit",95.0%,06:55 PM
1580,The churi is very good. . The nongra is very good. . The congestion is very good.,Lake Town,Positive,"Safety,Hygiene,Transit",99.1%,06:55 PM
1581,The safe is extremely bad.,Dum Dum,Negative,Safety,98.6%,06:55 PM
1582,The auto is extremely bad. . The highway is extremely bad.,Dum Dum,Negative,"Transit,Roads",98.0%,06:55 PM
1583,The naali is extremely bad.,Garia,Negative,Hygiene,99.8%,06:55 PM
1584,The path is extremely bad.,Tollygunge,Negative,Roads,96.0%,06:55 PM
1585,The highway is extremely bad.,Tollygunge,Negative,Roads,98.3%,06:55 PM
1586,The manush is extremely bad.,Behala,Negative,Roads,99.1%,06:55 PM
1587,The police is extremely bad.,Dum Dum,Negative,Safety,98.4%,06:55 PM
1588,The raksha is extremely bad.,Garia,Negative,Safety,96.2%,06:55 PM
1589,The shuttle is very good.,Dum Dum,Positive,Transit,94.6%,06:55 PM
1590,The raasta is extremely bad.,Dum Dum,Negative,Roads,98.9%,06:55 PM
1591,The rickshaw is very good. . The rasta is very good. . The swachh is very good.,Salt Lake,Positive,"Transit,Roads,Hygiene",98.6%,06:55 PM
1592,The flyover is extremely bad.,Sector V,Negative,Roads,98.4%,06:55 PM
1593,The chori is very good. . The commute is very good.,Dum Dum,Positive,"Safety,Transit",95.2%,06:55 PM
1594,The flyover is very good.,Lake Town,Positive,Roads,95.3%,06:55 PM
1595,The khana khondko is very good.,Jadavpur,Positive,Roads,94.7%,06:55 PM
1596,The pothole is extremely bad. . The lighting is extremely bad.,Newtown,Negative,"Roads,Safety",96.9%,06:55 PM
1597,The khof is extremely bad.,Garia,Negative,Safety,98.4%,06:55 PM
1598,The cleanliness is very good.,Behala,Positive,Hygiene,98.1%,06:55 PM
1599,The transport is extremely bad. . The pothole is extremely bad.,Kestopur,Negative,"Transit,Roads",97.1%,06:55 PM
1600,The litter is very good.,Lake Town,Positive,Hygiene,94.7%,06:55 PM
1601,The traffic is very good.,Sector V,Positive,Transit,96.9%,06:55 PM
1602,The commute is very good. . The police is very good.,Salt Lake,Positive,"Transit,Safety",98.2%,06:55 PM
1603,The safety is extremely bad. . The nongra is extremely bad.,Behala,Negative,"Safety,Hygiene",96.2%,06:55 PM
1604,The dustbin is very good. . The traffic is very good.,Kestopur,Positive,"Hygiene,Transit",97.4%,06:55 PM
1605,The metro is very good. . The protection is very good. . The marg is very good.,Dum Dum,Positive,"Transit,Safety,Roads",96.5%,06:55 PM
1606,The cleanliness is extremely bad.,Newtown,Negative,Hygiene,96.3%,06:55 PM
1607,The bus is extremely bad. . The highway is extremely bad.,Salt Lake,Negative,"Transit,Roads",97.4%,06:55 PM
1608,The metro is very good.,Tollygunge,Positive,Transit,97.5%,06:55 PM
1609,The gully is very good. . The congestion is very good.,Jadavpur,Positive,"Roads,Transit",94.4%,06:55 PM
1610,The kudedan is very good.,Garia,Positive,Hygiene,98.2%,06:55 PM
1611,The bus is extremely bad. . The path is extremely bad.,Tollygunge,Negative,"Transit,Roads",94.3%,06:55 PM
1612,The aborjna is very good. . The pul is very good.,Lake Town,Positive,"Hygiene,Roads",96.5%,06:55 PM
1613,The ondhokar is very good.,Garia,Positive,Safety,96.4%,06:55 PM
1614,The pul is very good. . The bus is very good.,Kestopur,Positive,"Roads,Transit",96.3%,06:55 PM
1615,The churi is extremely bad.,Jadavpur,Negative,Safety,97.2%,06:55 PM
1616,The khof is very good.,Garia,Positive,Safety,94.7%,06:55 PM
1617,The dar is very good. . The pavement is very good.,Behala,Positive,"Safety,Roads",97.6%,06:55 PM
1618,The andhera is very good.,Garia,Positive,Safety,95.0%,06:55 PM
1619,The janbahon is very good. . The sewage is very good.,Garia,Positive,"Transit,Hygiene",95.7%,06:55 PM
1620,The police is extremely bad. . The drain is extremely bad.,Kestopur,Negative,"Safety,Hygiene",97.2%,06:55 PM
1621,The unnoto is very good.,Garia,Positive,Roads,95.5%,06:55 PM
1622,The sawari is very good. . The flyover is very good. . The light is very good.,Jadavpur,Positive,"Transit,Roads,Safety",97.1%,06:55 PM
1623,The sadak is extremely bad. . The congestion is extremely bad. . The safe is extremely bad.,Salt Lake,Negative,"Roads,Transit,Safety",97.1%,06:55 PM
1624,The dustbin is very good. . The flyover is very good.,Behala,Positive,"Hygiene,Roads",97.5%,06:55 PM
1625,The manush is very good.,Sector V,Positive,Roads,98.0%,06:55 PM
1626,The dar is very good.,Jadavpur,Positive,Safety,98.0%,06:55 PM
1627,The auto is very good.,Salt Lake,Positive,Transit,95.0%,06:55 PM
1628,The bridge is very good.,Dum Dum,Positive,Roads,95.2%,06:55 PM
1629,The kachra is very good.,Newtown,Positive,Hygiene,96.4%,06:55 PM
1630,The nordoma is extremely bad. . The phari is extremely bad.,Sector V,Negative,"Hygiene,Safety",96.7%,06:55 PM
1631,The badhu is extremely bad. . The bus is extremely bad.,Garia,Negative,"Hygiene,Transit",94.4%,06:55 PM
1632,The highway is very good.,Tollygunge,Positive,Roads,95.7%,06:55 PM
1633,The street is extremely bad. . The protection is extremely bad.,Dum Dum,Negative,"Roads,Safety",98.2%,06:55 PM
1634,The moila is very good.,Kestopur,Positive,Hygiene,95.6%,06:55 PM
1635,The auto is extremely bad. . The sadak is extremely bad.,Newtown,Negative,"Transit,Roads",97.8%,06:55 PM
1636,The pul is very good. . The ondhokar is very good.,Sector V,Positive,"Roads,Safety",98.7%,06:55 PM
1637,The dar is extremely bad.,Kestopur,Negative,Safety,95.6%,06:55 PM
1638,The garbage is extremely bad.,Tollygunge,Negative,Hygiene,99.2%,06:55 PM
1639,The safe is very good.,Dum Dum,Positive,Safety,94.3%,06:55 PM
1640,The flyover is very good. . The bus is very good.,Salt Lake,Positive,"Roads,Transit",96.3%,06:55 PM
1641,The khof is extremely bad.,Sector V,Negative,Safety,98.0%,06:55 PM
1642,The bhid is very good. . The cctv is very good.,Dum Dum,Positive,"Transit,Safety",95.9%,06:55 PM
1643,The yatayat is extremely bad.,Kestopur,Negative,Transit,99.9%,06:55 PM
1644,The congestion is very good.,Behala,Positive,Transit,96.0%,06:55 PM
1645,The nordoma is very good. . The chori is very good. . The street is very good.,Newtown,Positive,"Hygiene,Safety,Roads",96.3%,06:55 PM
1646,The lane is extremely bad.,Dum Dum,Negative,Roads,97.1%,06:55 PM
1647,The asphalt is very good.,Jadavpur,Positive,Roads,97.5%,06:55 PM
1648,The unnoto is very good.,Dum Dum,Positive,Roads,95.8%,06:55 PM
1649,The safe is very good.,Sector V,Positive,Safety,97.7%,06:55 PM
1650,The churi is very good. . The kachra is very good.,Behala,Positive,"Safety,Hygiene",95.0%,06:55 PM
1651,The police is extremely bad.,Dum Dum,Negative,Safety,96.6%,06:55 PM
1652,The raasta is very good. . The traffic is very good.,Tollygunge,Positive,"Roads,Transit",94.1%,06:55 PM
1653,The protection is extremely bad.,Behala,Negative,Safety,99.4%,06:55 PM
1654,The surface is extremely bad.,Newtown,Negative,Roads,96.1%,06:55 PM
1655,The safety is very good. . The divider is very good.,Lake Town,Positive,"Safety,Roads",97.2%,06:55 PM
1656,The lighting is extremely bad. . The sawari is extremely bad.,Jadavpur,Negative,"Safety,Transit",98.6%,06:55 PM
1657,The churi is very good. . The bus is very good. . The gully is very good.,Newtown,Positive,"Safety,Transit,Roads",97.5%,06:55 PM
1658,The khana khondko is extremely bad. . The badbu is extremely bad.,Jadavpur,Negative,"Roads,Hygiene",96.5%,06:55 PM
1659,The nordoma is very good. . The marg is very good. . The janbahon is very good.,Kestopur,Positive,"Hygiene,Roads,Transit",99.9%,06:55 PM
1660,The police is very good. . The rickshaw is very good.,Newtown,Positive,"Safety,Transit",99.2%,06:55 PM
1661,The patrol is extremely bad. . The surface is extremely bad.,Newtown,Negative,"Safety,Roads",94.3%,06:55 PM
1662,The bus is extremely bad. . The protection is extremely bad. . The path is extremely bad.,Jadavpur,Negative,"Transit,Safety,Roads",97.1%,06:55 PM
1663,The pul is very good.,Tollygunge,Positive,Roads,99.5%,06:55 PM
1664,The bhid is extremely bad.,Tollygunge,Negative,Transit,95.4%,06:55 PM
1665,The toto is extremely bad. . The police is extremely bad.,Jadavpur,Negative,"Transit,Safety",99.5%,06:55 PM
1666,The manush is very good.,Lake Town,Positive,Roads,96.0%,06:55 PM
1667,The garbage is very good.,Lake Town,Positive,Hygiene,96.7%,06:55 PM
1668,The bus is very good. . The lighting is very good.,Jadavpur,Positive,"Transit,Safety",98.6%,06:55 PM
1669,The goli is very good. . The phari is very good.,Behala,Positive,"Roads,Safety",96.6%,06:55 PM
1670,The kudedan is extremely bad. . The paribahan is extremely bad.,Lake Town,Negative,"Hygiene,Transit",99.9%,06:55 PM
1671,The drain is extremely bad. . The kaada is extremely bad.,Garia,Negative,"Hygiene,Roads",95.0%,06:55 PM
1672,The nirapotta is extremely bad. . The dustbin is extremely bad.,Tollygunge,Negative,"Safety,Hygiene",96.9%,06:55 PM
1673,The khof is extremely bad. . The marg is extremely bad. . The bus is extremely bad.,Sector V,Negative,"Safety,Roads,Transit",94.0%,06:55 PM
1674,The goli is very good. . The alo is very good.,Sector V,Positive,"Roads,Safety",98.4%,06:55 PM
1675,The rickshaw is very good.,Dum Dum,Positive,Transit,99.4%,06:55 PM
1676,The metro is very good. . The nongra is very good.,Salt Lake,Positive,"Transit,Hygiene",99.7%,06:55 PM
1677,The sanitation is very good.,Kestopur,Positive,Hygiene,96.7%,06:55 PM
1678,The gaadi is very good. . The raasta is very good.,Garia,Positive,"Transit,Roads",95.1%,06:55 PM
1679,The naali is extremely bad. . The protection is extremely bad. . The pul is extremely bad.,Newtown,Negative,"Hygiene,Safety,Roads",99.9%,06:55 PM
1680,The andhera is extremely bad.,Jadavpur,Negative,Safety,94.4%,06:55 PM
1681,The gaddha is very good.,Kestopur,Positive,Roads,99.3%,06:55 PM
1682,The police is very good. . The pothole is very good.,Garia,Positive,"Safety,Roads",97.4%,06:55 PM
1683,The safe is very good. . The metro is very good. . The sarak is very good.,Behala,Positive,"Safety,Transit,Roads",99.3%,06:55 PM
1684,The naali is extremely bad. . The khof is extremely bad.,Behala,Negative,"Hygiene,Safety",96.0%,06:55 PM
1685,The protection is very good.,Tollygunge,Positive,Safety,96.3%,06:55 PM
1686,The drain is very good. . The light is very good.,Lake Town,Positive,"Hygiene,Safety",99.8%,06:55 PM
1687,The divider is very good. . The bhid is very good. . The suraksha is very good.,Behala,Positive,"Roads,Transit,Safety",96.0%,06:55 PM
1688,The bhir is very good.,Lake Town,Positive,Transit,99.6%,06:55 PM
1689,The commute is extremely bad. . The kudedan is extremely bad.,Tollygunge,Negative,"Transit,Hygiene",95.7%,06:55 PM
1690,The auto is very good.,Jadavpur,Positive,Transit,98.3%,06:55 PM
1691,The auto is extremely bad.,Tollygunge,Negative,Transit,97.5%,06:55 PM
1692,The ganda is very good. . The bhid is very good.,Tollygunge,Positive,"Hygiene,Transit",99.4%,06:55 PM
1693,The police is very good.,Newtown,Positive,Safety,94.8%,06:55 PM
1694,The sadak is very good. . The paribahan is very good. . The phari is very good.,Salt Lake,Positive,"Roads,Transit,Safety",98.7%,06:55 PM
1695,The unnoto is extremely bad.,Newtown,Negative,Roads,94.7%,06:55 PM
1696,The dustbin is extremely bad.,Newtown,Negative,Hygiene,95.2%,06:55 PM
1697,The secure is extremely bad.,Salt Lake,Negative,Safety,94.7%,06:55 PM
1698,The toto is extremely bad.,Salt Lake,Negative,Transit,97.8%,06:55 PM
1699,The dar is extremely bad.,Dum Dum,Negative,Safety,98.8%,06:55 PM
1700,The sawari is very good.,Newtown,Positive,Transit,97.8%,06:55 PM
1701,The sewage is extremely bad.,Salt Lake,Negative,Hygiene,94.4%,06:55 PM
1702,The kudedan is very good.,Kestopur,Positive,Hygiene,97.0%,06:55 PM
1703,The street is very good.,Sector V,Positive,Roads,96.2%,06:55 PM
1704,The safai is extremely bad.,Dum Dum,Negative,Hygiene,95.8%,06:55 PM
1705,The phari is very good.,Tollygunge,Positive,Safety,97.9%,06:55 PM
1706,The crime is very good.,Jadavpur,Positive,Safety,98.3%,06:55 PM
1707,The flyover is very good.,Sector V,Positive,Roads,97.6%,06:55 PM
1708,The nordoma is extremely bad.,Behala,Negative,Hygiene,97.3%,06:55 PM
1709,The auto is very good. . The naala is very good.,Dum Dum,Positive,"Transit,Hygiene",96.1%,06:55 PM
1710,The goli is extremely bad.,Salt Lake,Negative,Roads,96.7%,06:55 PM
1711,The sarak is extremely bad.,Newtown,Negative,Roads,95.1%,06:55 PM
1712,The smell is very good.,Lake Town,Positive,Hygiene,96.9%,06:55 PM
1713,The sanitation is very good.,Lake Town,Positive,Hygiene,98.6%,06:55 PM
1714,The sarak is extremely bad.,Sector V,Negative,Roads,98.2%,06:55 PM
1715,The lighting is extremely bad. . The kaada is extremely bad.,Kestopur,Negative,"Safety,Roads",99.1%,06:55 PM
1716,The pul is extremely bad.,Kestopur,Negative,Roads,94.7%,06:55 PM
1717,The bhoy is extremely bad. . The metro is extremely bad.,Sector V,Negative,"Safety,Transit",99.2%,06:55 PM
1718,The secure is very good. . The shuttle is very good.,Behala,Positive,"Safety,Transit",94.2%,06:55 PM
1719,The kaada is very good.,Jadavpur,Positive,Roads,96.4%,06:55 PM
1720,The traffic is extremely bad.,Salt Lake,Negative,Transit,95.6%,06:55 PM
1721,The kachra is very good.,Sector V,Positive,Hygiene,94.3%,06:55 PM
1722,The police is extremely bad.,Kestopur,Negative,Safety,95.4%,06:55 PM
1723,The unnoto is extremely bad.,Behala,Negative,Roads,99.4%,06:55 PM
1724,The ondhokar is very good. . The path is very good. . The paribahan is very good.,Tollygunge,Positive,"Safety,Roads,Transit",96.1%,06:55 PM
1725,The bus is very good. . The swachh is very good.,Dum Dum,Positive,"Transit,Hygiene",96.1%,06:55 PM
1726,The rickshaw is very good.,Dum Dum,Positive,Transit,98.2%,06:55 PM
1727,The auto is extremely bad. . The naali is extremely bad.,Kestopur,Negative,"Transit,Hygiene",94.5%,06:55 PM
1728,The dustbin is very good. . The bus is very good.,Behala,Positive,"Hygiene,Transit",97.7%,06:55 PM
1729,The bus is extremely bad.,Kestopur,Negative,Transit,98.8%,06:55 PM
1730,The pavement is very good.,Dum Dum,Positive,Roads,99.0%,06:55 PM
1731,The path is very good.,Sector V,Positive,Roads,98.6%,06:55 PM
1732,The churi is very good. . The rickshaw is very good.,Tollygunge,Positive,"Safety,Transit",96.1%,06:55 PM
1733,The drain is very good.,Behala,Positive,Hygiene,95.5%,06:55 PM
1734,The porishkar is very good. . The toto is very good.,Tollygunge,Positive,"Hygiene,Transit",95.7%,06:55 PM
1735,The bhid is extremely bad.,Kestopur,Negative,Transit,95.3%,06:55 PM
1736,The gorto is extremely bad. . The rickshaw is extremely bad.,Newtown,Negative,"Roads,Transit",95.6%,06:55 PM
