id,text,loc,sentiment,aspects,conf,time,cleaned_text
812,The toto is very good.,Behala,Positive,Transit,99.1%,06:55 PM,the toto is very good.
813,The churi is extremely bad. . The sanitation is extremely bad.,Newtown,Negative,"Safety,Hygiene",95.0%,06:55 PM,the churi is extremely bad. . the sanitation is extremely bad.
814,The rickshaw is very good.,Salt Lake,Positive,Transit,96.7%,06:55 PM,the rickshaw is very good.
815,The divider is very good.,Sector V,Positive,Roads,97.9%,06:55 PM,the divider is very good.
816,The goli is extremely bad.,Salt Lake,Negative,Roads,97.2%,06:55 PM,the goli is extremely bad.
817,The smell is extremely bad. . The safe is extremely bad.,Behala,Negative,"Hygiene,Safety",95.9%,06:55 PM,the smell is extremely bad. . the safe is extremely bad.
818,The nikashi is very good. . The cctv is very good. . The asphalt is very good.,Behala,Positive,"Hygiene,Safety,Roads",99.5%,06:55 PM,the nikashi is very good. . the cctv is very good. . the asphalt is very good.
819,The police is very good.,Dum Dum,Positive,Safety,95.6%,06:55 PM,the police is very good.
820,The bus is extremely bad.,Lake Town,Negative,Transit,98.2%,06:55 PM,the bus is extremely bad.
821,The unnoto is very good. . The safe is very good.,Salt Lake,Positive,"Roads,Safety",96.6%,06:55 PM,the unnoto is very good. . the safe is very good.
822,The swachh is extremely bad.,Garia,Negative,Hygiene,97.9%,06:55 PM,the swachh is extremely bad.
823,The smell is extremely bad. . The light is extremely bad.,Garia,Negative,"Hygiene,Safety",96.9%,06:55 PM,the smell is extremely bad. . the light is extremely bad.
824,The highway is very good.,Newtown,Positive,Roads,96.1%,06:55 PM,the highway is very good.
825,The alo is extremely bad.,Tollygunge,Negative,Safety,99.8%,06:55 PM,the alo is extremely bad.
826,The bhir is extremely bad.,Dum Dum,Negative,Transit,98.2%,06:55 PM,the bhir is extremely bad.
827,The rickshaw is extremely bad.,Salt Lake,Negative,Transit,94.9%,06:55 PM,the rickshaw is extremely bad.
828,The safe is extremely bad.,Newtown,Negative,Safety,97.8%,06:55 PM,the safe is extremely bad.
829,The dustbin is extremely bad. . The theft is extremely bad. . The traffic is extremely bad.,Lake Town,Negative,"Hygiene,Safety,Transit",98.0%,06:55 PM,the dustbin is extremely bad. . the theft is extremely bad. . the traffic is extremely bad.
830,The crime is very good.,Lake Town,Positive,Safety,97.8%,06:55 PM,the crime is very good.
831,The alo is very good.,Jadavpur,Positive,Safety,95.2%,06:55 PM,the alo is very good.
832,The bridge is very good.,Lake Town,Positive,Roads,97.6%,06:55 PM,the bridge is very good.
833,The theft is very good.,Jadavpur,Positive,Safety,97.7%,06:55 PM,the theft is very good.
834,The safety is very good.,Sector V,Positive,Safety,98.9%,06:55 PM,the safety is very good.
835,The traffic is extremely bad.,Kestopur,Negative,Transit,94.5%,06:55 PM,the traffic is extremely bad.
836,The frequency is very good. . The marg is very good.,Jadavpur,Positive,"Transit,Roads",96.4%,06:55 PM,the frequency is very good. . the marg is very good.
837,The commute is very good.,Kestopur,Positive,Transit,95.6%,06:55 PM,the commute is very good.
838,The sarak is very good.,Newtown,Positive,Roads,98.0%,06:55 PM,the sarak is very good.
839,The rickshaw is extremely bad.,Kestopur,Negative,Transit,97.4%,06:55 PM,the rickshaw is extremely bad.
840,The gandagi is very good.,Tollygunge,Positive,Hygiene,96.5%,06:55 PM,the gandagi is very good.
841,The badbu is very good. . The auto is very good. . The street is very good.,Kestopur,Positive,"Hygiene,Transit,Roads",94.3%,06:55 PM,the badbu is very good. . the auto is very good. . the street is very good.
842,The swachh is extremely bad. . The path is extremely bad. . The commute is extremely bad.,Garia,Negative,"Hygiene,Roads,Transit",95.6%,06:55 PM,the swachh is extremely bad. . the path is extremely bad. . the commute is extremely bad.
843,The nordoma is extremely bad. . The chori is extremely bad. . The highway is extremely bad.,Behala,Negative,"Hygiene,Safety,Roads",97.3%,06:55 PM,the nordoma is extremely bad. . the chori is extremely bad. . the highway is extremely bad.
844,The safe is extremely bad.,Salt Lake,Negative,Safety,94.0%,06:55 PM,the safe is extremely bad.
845,The dustbin is extremely bad.,Tollygunge,Negative,Hygiene,99.5%,06:55 PM,the dustbin is extremely bad.
846,The police is very good.,Salt Lake,Positive,Safety,95.5%,06:55 PM,the police is very good.
847,The suraksha is very good.,Kestopur,Positive,Safety,96.9%,06:55 PM,the suraksha is very good.
848,The gaddha is extremely bad. . The sewage is extremely bad.,Sector V,Negative,"Roads,Hygiene",99.8%,06:55 PM,the gaddha is extremely bad. . the sewage is extremely bad.
849,The shuttle is very good.,Kestopur,Positive,Transit,98.6%,06:55 PM,the shuttle is very good.
850,The manush is very good. . The dark is very good.,Newtown,Positive,"Roads,Safety",94.6%,06:55 PM,the manush is very good. . the dark is very good.
851,The dark is extremely bad. . The bus is extremely bad.,Dum Dum,Negative,"Safety,Transit",96.3%,06:55 PM,the dark is extremely bad. . the bus is extremely bad.
852,The dustbin is extremely bad.,Behala,Negative,Hygiene,96.0%,06:55 PM,the dustbin is extremely bad.
853,The cctv is extremely bad.,Salt Lake,Negative,Safety,98.7%,06:55 PM,the cctv is extremely bad.
854,The safai is very good. . The surface is very good.,Lake Town,Positive,"Hygiene,Roads",97.7%,06:55 PM,the safai is very good. . the surface is very good.
855,The auto is extremely bad. . The asphalt is extremely bad.,Salt Lake,Negative,"Transit,Roads",99.4%,06:55 PM,the auto is extremely bad. . the asphalt is extremely bad.
856,The nongra is very good. . The cctv is very good.,Sector V,Positive,"Hygiene,Safety",95.9%,06:55 PM,the nongra is very good. . the cctv is very good.
857,The secure is very good. . The lane is very good.,Salt Lake,Positive,"Safety,Roads",96.8%,06:55 PM,the secure is very good. . the lane is very good.
858,The marg is extremely bad. . The naala is extremely bad.,Tollygunge,Negative,"Roads,Hygiene",94.7%,06:55 PM,the marg is extremely bad. . the naala is extremely bad.
859,The andhera is very good.,Tollygunge,Positive,Safety,95.4%,06:55 PM,the andhera is very good.
860,The trash is very good. . The bhir is very good.,Kestopur,Positive,"Hygiene,Transit",96.2%,06:55 PM,the trash is very good. . the bhir is very good.
861,The sewage is very good. . The gorto is very good.,Salt Lake,Positive,"Hygiene,Roads",98.1%,06:55 PM,the sewage is very good. . the gorto is very good.
862,The gaddha is very good. . The toto is very good. . The protection is very good.,Tollygunge,Positive,"Roads,Transit,Safety",97.6%,06:55 PM,the gaddha is very good. . the toto is very good. . the protection is very good.
863,The garbage is very good. . The flyover is very good.,Newtown,Positive,"Hygiene,Roads",98.6%,06:55 PM,the garbage is very good. . the flyover is very good.
864,The andhera is extremely bad. . The nordoma is extremely bad. . The gaddha is extremely bad.,Newtown,Negative,"Safety,Hygiene,Roads",94.8%,06:55 PM,the andhera is extremely bad. . the nordoma is extremely bad. . the gaddha is extremely bad.
865,The street is very good. . The nirapotta is very good. . The cleanliness is very good.,Salt Lake,Positive,"Roads,Safety,Hygiene",97.5%,06:55 PM,the street is very good. . the nirapotta is very good. . the cleanliness is very good.
866,The nikashi is very good. . The asphalt is very good. . The rickshaw is very good.,Kestopur,Positive,"Hygiene,Roads,Transit",98.0%,06:55 PM,the nikashi is very good. . the asphalt is very good. . the rickshaw is very good.
867,The metro is extremely bad.,Garia,Negative,Transit,94.4%,06:55 PM,the metro is extremely bad.
868,The dustbin is extremely bad.,Jadavpur,Negative,Hygiene,94.2%,06:55 PM,the dustbin is extremely bad.
869,The khof is extremely bad.,Kestopur,Negative,Safety,95.0%,06:55 PM,the khof is extremely bad.
870,The raasta is extremely bad.,Garia,Negative,Roads,99.2%,06:55 PM,the raasta is extremely bad.
871,The litter is very good.,Garia,Positive,Hygiene,95.1%,06:55 PM,the litter is very good.
872,The traffic is very good.,Behala,Positive,Transit,96.8%,06:55 PM,the traffic is very good.
873,The police is very good.,Salt Lake,Positive,Safety,98.0%,06:55 PM,the police is very good.
874,The kachra is extremely bad. . The gaddha is extremely bad.,Newtown,Negative,"Hygiene,Roads",98.1%,06:55 PM,the kachra is extremely bad. . the gaddha is extremely bad.
875,The path is very good.,Tollygunge,Positive,Roads,94.6%,06:55 PM,the path is very good.
876,The cctv is very good. . The pothole is very good. . The sawari is very good.,Newtown,Positive,"Safety,Roads,Transit",97.6%,06:55 PM,the cctv is very good. . the pothole is very good. . the sawari is very good.
877,The highway is extremely bad. . The congestion is extremely bad.,Kestopur,Negative,"Roads,Transit",95.1%,06:55 PM,the highway is extremely bad. . the congestion is extremely bad.
878,The shuttle is extremely bad.,Behala,Negative,Transit,98.6%,06:55 PM,the shuttle is extremely bad.
879,The khof is very good.,Lake Town,Positive,Safety,95.5%,06:55 PM,the khof is very good.
880,The flyover is extremely bad. . The kudedan is extremely bad.,Lake Town,Negative,"Roads,Hygiene",96.0%,06:55 PM,the flyover is extremely bad. . the kudedan is extremely bad.
881,The churi is extremely bad.,Garia,Negative,Safety,94.6%,06:55 PM,the churi is extremely bad.
882,The kachra is very good.,Behala,Positive,Hygiene,95.4%,06:55 PM,the kachra is very good.
883,The protection is extremely bad. . The drain is extremely bad.,Behala,Negative,"Safety,Hygiene",99.4%,06:55 PM,the protection is extremely bad. . the drain is extremely bad.
884,The stench is very good.,Salt Lake,Positive,Hygiene,99.2%,06:55 PM,the stench is very good.
885,The raasta is extremely bad. . The phari is extremely bad.,Behala,Negative,"Roads,Safety",97.9%,06:55 PM,the raasta is extremely bad. . the phari is extremely bad.
886,The badhu is extremely bad.,Behala,Negative,Hygiene,94.1%,06:55 PM,the badhu is extremely bad.
887,The crime is very good. . The moila is very good.,Kestopur,Positive,"Safety,Hygiene",98.3%,06:55 PM,the crime is very good. . the moila is very good.
888,The nirapotta is very good. . The auto is very good.,Tollygunge,Positive,"Safety,Transit",94.7%,06:55 PM,the nirapotta is very good. . the auto is very good.
889,The light is extremely bad. . The divider is extremely bad.,Jadavpur,Negative,"Safety,Roads",94.9%,06:55 PM,the light is extremely bad. . the divider is extremely bad.
890,The ganda is very good.,Garia,Positive,Hygiene,99.5%,06:55 PM,the ganda is very good.
891,The sarak is very good. . The ganda is very good.,Jadavpur,Positive,"Roads,Hygiene",99.7%,06:55 PM,the sarak is very good. . the ganda is very good.
892,The naala is very good.,Sector V,Positive,Hygiene,96.5%,06:55 PM,the naala is very good.
893,The police is very good.,Newtown,Positive,Safety,99.3%,06:55 PM,the police is very good.
894,The traffic is extremely bad.,Sector V,Negative,Transit,96.0%,06:55 PM,the traffic is extremely bad.
895,The asphalt is extremely bad. . The secure is extremely bad.,Behala,Negative,"Roads,Safety",97.4%,06:55 PM,the asphalt is extremely bad. . the secure is extremely bad.
896,The shuttle is extremely bad.,Lake Town,Negative,Transit,97.9%,06:55 PM,the shuttle is extremely bad.
897,The divider is extremely bad. . The kachra is extremely bad.,Kestopur,Negative,"Roads,Hygiene",99.9%,06:55 PM,the divider is extremely bad. . the kachra is extremely bad.
898,The raston is extremely bad.,Newtown,Negative,Roads,96.4%,06:55 PM,the raston is extremely bad.
899,The smell is very good.,Salt Lake,Positive,Hygiene,94.2%,06:55 PM,the smell is very good.
900,The gandagi is very good. . The divider is very good. . The bhir is very good.,Salt Lake,Positive,"Hygiene,Roads,Transit",95.8%,06:55 PM,the gandagi is very good. . the divider is very good. . the bhir is very good.
901,The metro is extremely bad. . The pavement is extremely bad.,Garia,Negative,"Transit,Roads",95.6%,06:55 PM,the metro is extremely bad. . the pavement is extremely bad.
902,The paribahan is extremely bad. . The kachra is extremely bad. . The khof is extremely bad.,Jadavpur,Negative,"Transit,Hygiene,Safety",95.2%,06:55 PM,the paribahan is extremely bad. . the kachra is extremely bad. . the khof is extremely bad.
903,The safe is extremely bad.,Kestopur,Negative,Safety,96.4%,06:55 PM,the safe is extremely bad.
904,The dar is very good.,Behala,Positive,Safety,96.3%,06:55 PM,the dar is very good.
905,The bhid is very good. . The swachh is very good.,Kestopur,Positive,"Transit,Hygiene",95.6%,06:55 PM,the bhid is very good. . the swachh is very good.
906,The naali is extremely bad.,Jadavpur,Negative,Hygiene,94.1%,06:55 PM,the naali is extremely bad.
907,The path is extremely bad. . The badhu is extremely bad. . The metro is extremely bad.,Dum Dum,Negative,"Roads,Hygiene,Transit",97.1%,06:55 PM,the path is extremely bad. . the badhu is extremely bad. . the metro is extremely bad.
908,The bus is very good. . The sarak is very good.,Dum Dum,Positive,"Transit,Roads",99.7%,06:55 PM,the bus is very good. . the sarak is very good.
909,The raston is very good. . The crime is very good. . The kudedan is very good.,Salt Lake,Positive,"Roads,Safety,Hygiene",96.6%,06:55 PM,the raston is very good. . the crime is very good. . the kudedan is very good.
910,The lighting is extremely bad. . The gorto is extremely bad. . The swachh is extremely bad.,Lake Town,Negative,"Safety,Roads,Hygiene",96.7%,06:55 PM,the lighting is extremely bad. . the gorto is extremely bad. . the swachh is extremely bad.
911,The rickshaw is very good. . The gorto is very good. . The crime is very good.,Sector V,Positive,"Transit,Roads,Safety",95.0%,06:55 PM,the rickshaw is very good. . the gorto is very good. . the crime is very good.
912,The porishkar is very good.,Salt Lake,Positive,Hygiene,97.9%,06:55 PM,the porishkar is very good.
913,The metro is extremely bad. . The divider is extremely bad.,Jadavpur,Negative,"Transit,Roads",98.8%,06:55 PM,the metro is extremely bad. . the divider is extremely bad.
914,The secure is extremely bad.,Kestopur,Negative,Safety,96.9%,06:55 PM,the secure is extremely bad.
915,The litter is very good. . The paribahan is very good.,Sector V,Positive,"Hygiene,Transit",96.8%,06:55 PM,the litter is very good. . the paribahan is very good.
916,The sanitation is very good.,Sector V,Positive,Hygiene,95.0%,06:55 PM,the sanitation is very good.
917,The phari is very good.,Garia,Positive,Safety,95.8%,06:55 PM,the phari is very good.
918,The pul is extremely bad. . The naali is extremely bad. . The patrol is extremely bad.,Tollygunge,Negative,"Roads,Hygiene,Safety",95.9%,06:55 PM,the pul is extremely bad. . the naali is extremely bad. . the patrol is extremely bad.
919,The divider is very good.,Dum Dum,Positive,Roads,99.1%,06:55 PM,the divider is very good.
920,The safety is very good. . The street is very good.,Tollygunge,Positive,"Safety,Roads",94.1%,06:55 PM,the safety is very good. . the street is very good.
921,The shuttle is very good.,Tollygunge,Positive,Transit,95.4%,06:55 PM,the shuttle is very good.
922,The metro is extremely bad.,Salt Lake,Negative,Transit,95.8%,06:55 PM,the metro is extremely bad.
923,The dustbin is very good.,Behala,Positive,Hygiene,95.2%,06:55 PM,the dustbin is very good.
924,The badhu is extremely bad.,Newtown,Negative,Hygiene,99.4%,06:55 PM,the badhu is extremely bad.
925,The gully is extremely bad. . The churi is extremely bad. . The swachh is extremely bad.,Jadavpur,Negative,"Roads,Safety,Hygiene",95.5%,06:55 PM,the gully is extremely bad. . the churi is extremely bad. . the swachh is extremely bad.
926,The rickshaw is extremely bad.,Kestopur,Negative,Transit,95.5%,06:55 PM,the rickshaw is extremely bad.
927,The toto is extremely bad.,Kestopur,Negative,Transit,95.0%,06:55 PM,the toto is extremely bad.
928,The sanitation is extremely bad. . The sawari is extremely bad.,Newtown,Negative,"Hygiene,Transit",96.5%,06:55 PM,the sanitation is extremely bad. . the sawari is extremely bad.
929,The bhid is extremely bad. . The divider is extremely bad.,Garia,Negative,"Transit,Roads",97.1%,06:55 PM,the bhid is extremely bad. . the divider is extremely bad.
930,The kaada is extremely bad.,Tollygunge,Negative,Roads,96.6%,06:55 PM,the kaada is extremely bad.
931,The rickshaw is extremely bad.,Sector V,Negative,Transit,96.6%,06:55 PM,the rickshaw is extremely bad.
932,The raksha is extremely bad.,Behala,Negative,Safety,95.7%,06:55 PM,the raksha is extremely bad.
933,The asphalt is very good. . The rickshaw is very good.,Tollygunge,Positive,"Roads,Transit",97.8%,06:55 PM,the asphalt is very good. . the rickshaw is very good.
934,The metro is extremely bad.,Newtown,Negative,Transit,99.2%,06:55 PM,the metro is extremely bad.
935,The dustbin is extremely bad. . The dark is extremely bad.,Newtown,Negative,"Hygiene,Safety",94.5%,06:55 PM,the dustbin is extremely bad. . the dark is extremely bad.
936,The khof is extremely bad.,Garia,Negative,Safety,98.2%,06:55 PM,the khof is extremely bad.
937,The cleanliness is very good.,Jadavpur,Positive,Hygiene,96.5%,06:55 PM,the cleanliness is very good.
938,The metro is extremely bad.,Jadavpur,Negative,Transit,97.0%,06:55 PM,the metro is extremely bad.
939,The litter is very good. . The chori is very good.,Garia,Positive,"Hygiene,Safety",95.7%,06:55 PM,the litter is very good. . the chori is very good.
940,The gorto is very good.,Garia,Positive,Roads,94.5%,06:55 PM,the gorto is very good.
941,The nongra is very good.,Lake Town,Positive,Hygiene,99.3%,06:55 PM,the nongra is very good.
942,The porishkar is extremely bad.,Sector V,Negative,Hygiene,96.9%,06:55 PM,the porishkar is extremely bad.
943,The divider is very good.,Kestopur,Positive,Roads,94.8%,06:55 PM,the divider is very good.
944,The manush is extremely bad.,Sector V,Negative,Roads,97.7%,06:55 PM,the manush is extremely bad.
945,The nordoma is very good. . The shuttle is very good.,Dum Dum,Positive,"Hygiene,Transit",96.4%,06:55 PM,the nordoma is very good. . the shuttle is very good.
946,The nordoma is extremely bad.,Garia,Negative,Hygiene,98.1%,06:55 PM,the nordoma is extremely bad.
947,The metro is very good.,Jadavpur,Positive,Transit,94.7%,06:55 PM,the metro is very good.
948,The road is very good. . The nongra is very good.,Kestopur,Positive,"Roads,Hygiene",95.8%,06:55 PM,the road is very good. . the nongra is very good.
949,The janbahon is extremely bad.,Sector V,Negative,Transit,96.5%,06:55 PM,the janbahon is extremely bad.
950,The badhu is very good. . The manush is very good.,Kestopur,Positive,"Hygiene,Roads",99.8%,06:55 PM,the badhu is very good. . the manush is very good.
951,The naali is extremely bad. . The gaadi is extremely bad.,Sector V,Negative,"Hygiene,Transit",97.1%,06:55 PM,the naali is extremely bad. . the gaadi is extremely bad.
952,The divider is very good.,Newtown,Positive,Roads,98.5%,06:55 PM,the divider is very good.
953,The aborjna is very good. . The light is very good.,Salt Lake,Positive,"Hygiene,Safety",95.7%,06:55 PM,the aborjna is very good. . the light is very good.
954,The metro is very good.,Salt Lake,Positive,Transit,98.2%,06:55 PM,the metro is very good.
955,The crime is very good.,Salt Lake,Positive,Safety,96.7%,06:55 PM,the crime is very good.
956,The naali is very good.,Salt Lake,Positive,Hygiene,98.1%,06:55 PM,the naali is very good.
957,The gorto is very good.,Kestopur,Positive,Roads,94.9%,06:55 PM,the gorto is very good.
958,The porishkar is extremely bad.,Kestopur,Negative,Hygiene,99.5%,06:55 PM,the porishkar is extremely bad.
959,The drain is very good.,Lake Town,Positive,Hygiene,95.9%,06:55 PM,the drain is very good.
960,The auto is extremely bad.,Dum Dum,Negative,Transit,96.5%,06:55 PM,the auto is extremely bad.
961,The protection is extremely bad.,Salt Lake,Negative,Safety,97.4%,06:55 PM,the protection is extremely bad.
962,The suraksha is extremely bad.,Newtown,Negative,Safety,99.1%,06:55 PM,the suraksha is extremely bad.
963,The khana khondko is extremely bad.,Dum Dum,Negative,Roads,99.8%,06:55 PM,the khana khondko is extremely bad.
964,The nordoma is extremely bad.,Tollygunge,Negative,Hygiene,97.7%,06:55 PM,the nordoma is extremely bad.
965,The police is extremely bad.,Jadavpur,Negative,Safety,95.6%,06:55 PM,the police is extremely bad.
966,The safe is very good.,Behala,Positive,Safety,94.9%,06:55 PM,the safe is very good.
967,The manush is very good. . The bus is very good. . The theft is very good.,Salt Lake,Positive,"Roads,Transit,Safety",96.9%,06:55 PM,the manush is very good. . the bus is very good. . the theft is very good.
968,The trash is extremely bad. . The safe is extremely bad.,Lake Town,Negative,"Hygiene,Safety",97.5%,06:55 PM,the trash is extremely bad. . the safe is extremely bad.
969,The dustbin is very good.,Jadavpur,Positive,Hygiene,95.4%,06:55 PM,the dustbin is very good.
970,The lane is very good.,Salt Lake,Positive,Roads,99.4%,06:55 PM,the lane is very good.
971,The badhu is extremely bad.,Jadavpur,Negative,Hygiene,95.9%,06:55 PM,the badhu is extremely bad.
972,The waste is very good. . The bus is very good.,Sector V,Positive,"Hygiene,Transit",94.7%,06:55 PM,the waste is very good. . the bus is very good.
973,The lighting is very good.,Kestopur,Positive,Safety,97.2%,06:55 PM,the lighting is very good.
974,The traffic is extremely bad.,Lake Town,Negative,Transit,95.6%,06:55 PM,the traffic is extremely bad.
975,The traffic is extremely bad.,Behala,Negative,Transit,94.6%,06:55 PM,the traffic is extremely bad.
976,The kaada is extremely bad.,Behala,Negative,Roads,97.3%,06:55 PM,the kaada is extremely bad.
977,The theft is extremely bad.,Kestopur,Negative,Safety,94.4%,06:55 PM,the theft is extremely bad.
978,The pul is extremely bad. . The nikashi is extremely bad.,Tollygunge,Negative,"Roads,Hygiene",95.2%,06:55 PM,the pul is extremely bad. . the nikashi is extremely bad.
979,The theft is very good. . The marg is very good.,Jadavpur,Positive,"Safety,Roads",97.8%,06:55 PM,the theft is very good. . the marg is very good.
980,The kachra is very good. . The frequency is very good.,Dum Dum,Positive,"Hygiene,Transit",97.1%,06:55 PM,the kachra is very good. . the frequency is very good.
981,The sadak is extremely bad.,Behala,Negative,Roads,96.1%,06:55 PM,the sadak is extremely bad.
982,The litter is very good. . The alo is very good.,Salt Lake,Positive,"Hygiene,Safety",95.5%,06:55 PM,the litter is very good. . the alo is very good.
983,The dustbin is very good.,Salt Lake,Positive,Hygiene,97.4%,06:55 PM,the dustbin is very good.
984,The sewage is extremely bad.,Dum Dum,Negative,Hygiene,96.7%,06:55 PM,the sewage is extremely bad.
985,The flyover is extremely bad.,Kestopur,Negative,Roads,98.0%,06:55 PM,the flyover is extremely bad.
986,The metro is very good.,Sector V,Positive,Transit,95.9%,06:55 PM,the metro is very good.
987,The dustbin is extremely bad.,Salt Lake,Negative,Hygiene,98.8%,06:55 PM,the dustbin is extremely bad.
988,The metro is extremely bad.,Sector V,Negative,Transit,99.0%,06:55 PM,the metro is extremely bad.
989,The badhu is extremely bad.,Newtown,Negative,Hygiene,95.3%,06:55 PM,the badhu is extremely bad.
990,The toto is very good. . The naala is very good.,Newtown,Positive,"Transit,Hygiene",97.7%,06:55 PM,the toto is very good. . the naala is very good.
991,The badbu is extremely bad. . The ondhokar is extremely bad. . The commute is extremely bad.,Tollygunge,Negative,"Hygiene,Safety,Transit",94.5%,06:55 PM,the badbu is extremely bad. . the ondhokar is extremely bad. . the commute is extremely bad.
992,The sewage is extremely bad.,Jadavpur,Negative,Hygiene,97.3%,06:55 PM,the sewage is extremely bad.
993,The chori is very good. . The paribahan is very good.,Sector V,Positive,"Safety,Transit",97.3%,06:55 PM,the chori is very good. . the paribahan is very good.
994,The street is very good.,Behala,Positive,Roads,95.9%,06:55 PM,the street is very good.
995,The sarak is extremely bad.,Jadavpur,Negative,Roads,99.6%,06:55 PM,the sarak is extremely bad.
996,The naali is extremely bad. . The ondhokar is extremely bad. . The khana khondko is extremely bad.,Kestopur,Negative,"Hygiene,Safety,Roads",95.4%,06:55 PM,the naali is extremely bad. . the ondhokar is extremely bad. . the khana khondko is extremely bad.
997,The gully is very good.,Garia,Positive,Roads,95.2%,06:55 PM,the gully is very good.
998,The divider is very good. . The cleanliness is very good. . The bus is very good.,Dum Dum,Positive,"Roads,Hygiene,Transit",96.7%,06:55 PM,the divider is very good. . the cleanliness is very good. . the bus is very good.
999,The bhid is very good.,Lake Town,Positive,Transit,96.8%,06:55 PM,the bhid is very good.
1000,The cleanliness is extremely bad.,Sector V,Negative,Hygiene,97.8%,06:55 PM,the cleanliness is extremely bad.
1001,The ondhokar is very good. . The flyover is very good. . The moila is very good.,Newtown,Positive,"Safety,Roads,Hygiene",94.2%,06:55 PM,the ondhokar is very good. . the flyover is very good. . the moila is very good.
1002,The bhir is very good. . The sanitation is very good.,Jadavpur,Positive,"Transit,Hygiene",98.2%,06:55 PM,the bhir is very good. . the sanitation is very good.
1003,The rickshaw is extremely bad. . The safe is extremely bad.,Jadavpur,Negative,"Transit,Safety",94.4%,06:55 PM,the rickshaw is extremely bad. . the safe is extremely bad.
1004,The asphalt is very good. . The safe is very good.,Garia,Positive,"Roads,Safety",95.3%,06:55 PM,the asphalt is very good. . the safe is very good.
1005,The paribahan is very good.,Garia,Positive,Transit,98.7%,06:55 PM,the paribahan is very good.
1006,The sawari is extremely bad. . The sanitation is extremely bad. . The phari is extremely bad.,Sector V,Negative,"Transit,Hygiene,Safety",94.3%,06:55 PM,the sawari is extremely bad. . the sanitation is extremely bad. . the phari is extremely bad.
1007,The kudedan is extremely bad.,Lake Town,Negative,Hygiene,98.8%,06:55 PM,the kudedan is extremely bad.
1008,The flyover is extremely bad.,Tollygunge,Negative,Roads,97.5%,06:55 PM,the flyover is extremely bad.
1009,The path is very good. . The dustbin is very good.,Jadavpur,Positive,"Roads,Hygiene",98.9%,06:55 PM,the path is very good. . the dustbin is very good.
1010,The rickshaw is very good.,Tollygunge,Positive,Transit,95.6%,06:55 PM,the rickshaw is very good.
1011,The pothole is extremely bad.,Kestopur,Negative,Roads,96.7%,06:55 PM,the pothole is extremely bad.
1012,The sadak is extremely bad.,Behala,Negative,Roads,96.1%,06:55 PM,the sadak is extremely bad.
1013,The safe is extremely bad.,Garia,Negative,Safety,94.6%,06:55 PM,the safe is extremely bad.
1014,The gandagi is very good.,Kestopur,Positive,Hygiene,95.0%,06:55 PM,the gandagi is very good.
1015,The metro is very good.,Garia,Positive,Transit,95.3%,06:55 PM,the metro is very good.
1016,The pul is extremely bad. . The janbahon is extremely bad.,Kestopur,Negative,"Roads,Transit",99.3%,06:55 PM,the pul is extremely bad. . the janbahon is extremely bad.
1017,The safe is very good.,Newtown,Positive,Safety,99.7%,06:55 PM,the safe is very good.
1018,The toto is extremely bad.,Tollygunge,Negative,Transit,94.7%,06:55 PM,the toto is extremely bad.
1019,The garbage is very good.,Jadavpur,Positive,Hygiene,97.1%,06:55 PM,the garbage is very good.
1020,The porishkar is extremely bad. . The police is extremely bad.,Newtown,Negative,"Hygiene,Safety",95.1%,06:55 PM,the porishkar is extremely bad. . the police is extremely bad.
1021,The dustbin is very good. . The churi is very good. . The path is very good.,Salt Lake,Positive,"Hygiene,Safety,Roads",94.2%,06:55 PM,the dustbin is very good. . the churi is very good. . the path is very good.
1022,The aborjna is extremely bad.,Garia,Negative,Hygiene,98.7%,06:55 PM,the aborjna is extremely bad.
1023,The traffic is very good.,Tollygunge,Positive,Transit,98.2%,06:55 PM,the traffic is very good.
1024,The kachra is extremely bad. . The auto is extremely bad.,Sector V,Negative,"Hygiene,Transit",96.6%,06:55 PM,the kachra is extremely bad. . the auto is extremely bad.
1025,The raasta is extremely bad. . The protection is extremely bad. . The safai is extremely bad.,Kestopur,Negative,"Roads,Safety,Hygiene",96.7%,06:55 PM,the raasta is extremely bad. . the protection is extremely bad. . the safai is extremely bad.
1026,The auto is very good. . The dark is very good. . The divider is very good.,Kestopur,Positive,"Transit,Safety,Roads",98.1%,06:55 PM,the auto is very good. . the dark is very good. . the divider is very good.
1027,The light is very good.,Sector V,Positive,Safety,95.9%,06:55 PM,the light is very good.
1028,The suraksha is extremely bad. . The badbu is extremely bad.,Sector V,Negative,"Safety,Hygiene",94.6%,06:55 PM,the suraksha is extremely bad. . the badbu is extremely bad.
1029,The waste is very good.,Salt Lake,Positive,Hygiene,95.8%,06:55 PM,the waste is very good.
1030,The rickshaw is extremely bad.,Dum Dum,Negative,Transit,94.9%,06:55 PM,the rickshaw is extremely bad.
1031,The transport is extremely bad. . The gully is extremely bad.,Sector V,Negative,"Transit,Roads",99.4%,06:55 PM,the transport is extremely bad. . the gully is extremely bad.
1032,The smell is extremely bad. . The gorto is extremely bad. . The alo is extremely bad.,Lake Town,Negative,"Hygiene,Roads,Safety",97.1%,06:55 PM,the smell is extremely bad. . the gorto is extremely bad. . the alo is extremely bad.
1033,The police is extremely bad.,Dum Dum,Negative,Safety,94.8%,06:55 PM,the police is extremely bad.
1034,The congestion is very good.,Salt Lake,Positive,Transit,98.4%,06:55 PM,the congestion is very good.
